num__items,c__quicksort,cpp__quicksort,rust__sort,rust__unstable_sort
54000,0.005471,0.002982,0.0022979,0.0000427
54000,0.005220,0.003149,0.0022541,0.0000312
54000,0.005534,0.003226,0.0030852,0.0000418
54000,0.005317,0.003129,0.0022358,0.0000313
55000,0.005656,0.002960,0.0023687,0.000031
55000,0.005214,0.003258,0.0022747,0.0000318
55000,0.005086,0.003034,0.0023322,0.0000309
55000,0.004947,0.003200,0.0023056,0.0000328
55000,0.005114,0.003081,0.0024317,0.0000564
56000,0.006338,0.003115,0.0022724,0.0000325
56000,0.005441,0.003151,0.0025439,0.0000324
56000,0.005231,0.003108,0.0023635,0.0000324
56000,0.005532,0.003041,0.0025594,0.0000317
56000,0.005412,0.003079,0.0023773,0.0000325
57000,0.005383,0.003216,0.0023636,0.0000321
57000,0.005598,0.003113,0.0023852,0.000033
57000,0.006145,0.003774,0.0023608,0.0000334
57000,0.010741,0.004011,0.0027114,0.0000332
57000,0.005573,0.003146,0.0024348,0.0000329
58000,0.005252,0.003352,0.0024392,0.0000326
58000,0.006103,0.003536,0.0023769,0.0000335
58000,0.005388,0.003558,0.0025715,0.0000328
58000,0.005647,0.003231,0.002716,0.0000335
58000,0.005981,0.003532,0.0023847,0.0000336
59000,0.005635,0.003316,0.002485,0.0000331
59000,0.005760,0.003468,0.0024377,0.0000342
59000,0.007365,0.003523,0.0024173,0.0000342
59000,0.006496,0.003215,0.0025974,0.0000332
59000,0.005835,0.003374,0.0024584,0.0000341
60000,0.005516,0.003238,0.0024881,0.0000338
60000,0.006073,0.003391,0.0035394,0.0000356
60000,0.006050,0.003398,0.0025025,0.0000339
60000,0.006596,0.003358,0.0025168,0.0000347
60000,0.006002,0.003310,0.0026451,0.0000559
61000,0.005612,0.003403,0.0024565,0.0000343
61000,0.005883,0.003468,0.0026608,0.0000343
61000,0.005687,0.003343,0.0027037,0.0000344
61000,0.005977,0.003457,0.0028317,0.0000342
61000,0.006107,0.003378,0.0028122,0.0000354
62000,0.005660,0.003615,0.0027136,0.0000348
62000,0.006036,0.004128,0.0028939,0.0000358
62000,0.006169,0.003585,0.0026595,0.0000358
62000,0.005829,0.003799,0.0025757,0.0000349
62000,0.006171,0.003337,0.0030347,0.0000362
63000,0.005522,0.003521,0.0027166,0.0000373
63000,0.008200,0.003995,0.0026315,0.0000364
63000,0.006237,0.003600,0.0026821,0.0000364
63000,0.005864,0.003806,0.0026178,0.0000367
63000,0.005909,0.003457,0.0029979,0.000049
64000,0.005654,0.003723,0.0027086,0.000036
64000,0.006187,0.003561,0.0033885,0.0001174
64000,0.006993,0.003543,0.0028879,0.000036
64000,0.006266,0.003817,0.0027414,0.0000373
64000,0.006758,0.003885,0.002964,0.000036
65000,0.005963,0.003600,0.0027845,0.0000366
65000,0.005987,0.003663,0.0031332,0.0000387
65000,0.006755,0.003573,0.0029068,0.0000366
65000,0.006352,0.003621,0.002794,0.0000366
65000,0.006066,0.003852,0.0026608,0.0000506
66000,0.006018,0.003566,0.0027575,0.0000371
66000,0.007589,0.003768,0.0028421,0.0000562
66000,0.006182,0.003909,0.002861,0.0000371
66000,0.006387,0.003742,0.0028527,0.0000373
66000,0.006571,0.003709,0.0027557,0.0000625
67000,0.007098,0.004029,0.0027859,0.0000379
67000,0.007017,0.003946,0.0030779,0.0000399
67000,0.006355,0.003648,0.0029789,0.0000377
67000,0.006415,0.003844,0.0029095,0.0000377
67000,0.006545,0.003687,0.0030819,0.0000378
68000,0.006036,0.003933,0.0027914,0.0000362
68000,0.007411,0.004009,0.0028234,0.0000383
68000,0.006701,0.003935,0.0028616,0.0000393
68000,0.006538,0.004007,0.0029172,0.0000394
68000,0.006271,0.003763,0.0028706,0.0000382
69000,0.006409,0.004071,0.0036474,0.0000398
69000,0.007604,0.003981,0.0028893,0.0000387
69000,0.006905,0.003803,0.0029648,0.0000388
69000,0.008379,0.003822,0.0034645,0.0000806
69000,0.007106,0.004153,0.0028676,0.0000401
70000,0.006644,0.003929,0.0030037,0.0000393
70000,0.007528,0.003903,0.0030373,0.0000394
70000,0.006803,0.003945,0.0037011,0.0000416
70000,0.006787,0.004235,0.0032892,0.0000407
70000,0.006844,0.004456,0.003,0.0000393
71000,0.006610,0.004059,0.002967,0.0000399
71000,0.007379,0.004010,0.0029169,0.0000411
71000,0.006784,0.004353,0.0029611,0.0000418
71000,0.006734,0.003945,0.0030514,0.0000399
71000,0.007189,0.004137,0.0029838,0.0000398
72000,0.006491,0.004013,0.0035636,0.0001392
72000,0.006687,0.004642,0.0034535,0.0000413
72000,0.006972,0.003938,0.0029893,0.0000406
72000,0.007048,0.004142,0.0030436,0.0000504
72000,0.006432,0.004743,0.0030869,0.0000405
73000,0.006821,0.004279,0.003056,0.000041
73000,0.007727,0.005461,0.0030668,0.0000422
73000,0.007160,0.004138,0.0034726,0.0000426
73000,0.007131,0.004338,0.0031848,0.0000423
73000,0.007034,0.004438,0.0031645,0.0000424
74000,0.006859,0.004620,0.0034673,0.0000765
74000,0.007612,0.004656,0.0031022,0.0000427
74000,0.007191,0.004200,0.0030937,0.0000429
74000,0.006931,0.004263,0.003064,0.0000416
74000,0.007758,0.004779,0.0031259,0.0000417
75000,0.006934,0.004216,0.0031419,0.0000422
75000,0.008316,0.004414,0.0032202,0.0000434
75000,0.007252,0.004273,0.0034131,0.0000424
75000,0.011924,0.004298,0.0032196,0.0000423
75000,0.008997,0.004155,0.0032642,0.0000422
76000,0.007030,0.004851,0.0036417,0.0000443
76000,0.007149,0.004628,0.0032644,0.0001334
76000,0.007107,0.004227,0.0046519,0.0000568
76000,0.007063,0.004472,0.0033335,0.0000428
76000,0.007509,0.004483,0.0031989,0.000045
77000,0.008461,0.004609,0.00379,0.0000827
77000,0.008576,0.004472,0.0031924,0.0000445
77000,0.007517,0.004341,0.0036333,0.0000434
77000,0.007439,0.004512,0.0031805,0.0000446
77000,0.008031,0.004563,0.0031981,0.0000435
78000,0.007963,0.004772,0.0042507,0.0000461
78000,0.007748,0.004621,0.0033368,0.000095
